id,name
30092875,"create
db
script
test
data
excel
file
"
30092657,"topcoder
online
review
update
design
template
"
30090257,"iflo
elec
link
change
build
iteration
testing
"
30090256,"iflo
elec
link
change
build
iteration
"
30092759,"topcoder
add
dropin
submission
review
app
"
30092665,"topcoder
connect
wizard
skill
question
"
30092851,"android
bos
pick
flow
type
pick
"
30092289,"topcoder
marketing
home
update
prototype
challenge
"
30092304,"redwood
bluesource
create
env
file
"
30092040,"topcoder
connect
show
drawer
summary
"
30092207,"topcoder
fix
issue
header
component
"
30092073,"topcoder
resource
create
initialization
script
"
30092074,"topcoder
challenge
create
initialization
script
"
30092039,"topcoder
connect
show
project
estimation
"
30091957,"topcoder
project
service
milestone
refactor
"
30092330,"android
automation
ofa
automation
ship
trouble
move
pick
resume
etc
"
30092509,"topcoder
project
api
update
swagger
standard
"
30091748,"topcoder
project
service
fix
leave
project
issue
"
30091674,"alta
ski
task
unassigned
view
"
30091706,"topcoder
project
service
store
project
estimate
"
30091621,"hestia
control
center
backend
api
revise
http
method
"
30091414,"topcoder
member
profile
verify
skill
frontend
"
30091275,"topcoder
connect
material
component
"
30091243,"topcoder
react
component
improve
linting
"
30091193,"topcoder
react
component
fix
createclass
deprecate
"
30091192,"topcoder
react
component
fix
proptypes
deprecate
"
30091094,"medium
library
image
resize
service
"
30091074,"topcoder
notification
update
api
standard
"
30091014,"hestia
control
center
backend
api
create
test
data
import
approver
management
logic
"
30091067,"topcoder
fix
mm
related
processor
pt
"
30090922,"topcoder
fix
member
service
apis
"
30090911,"hepius
control
chart
frontend
proc
param
remove
time
interval
filter
"
30090870,"desktop
deployment
management
tool
windows
installer
"
30090892,"topcoder
fix
mm
related
processor
"
30090890,"redwood
bluesource
quote
mock
api
"
30090889,"redwood
bluesource
quote
microservice
mock
api
"
30090891,"redwood
bluesource
underwriting
audience
mock
api
"
30090888,"redwood
bluesource
product
mock
api
"
30090884,"redwood
bluesource
event
mock
api
"
30090887,"redwood
bluesource
producer
mock
api
"
30090885,"redwood
bluesource
event
microservice
mock
api
"
30090819,"topcoder
enable
"
30090755,"edit
order
management
"
30090720,"topcoder
message
service
private
post
permission
"
30090692,"redwood
bluesource
communication
mock
api
"
30090695,"redwood
bluesource
document
mock
api
"
30090693,"redwood
bluesource
contact
mock
api
"
30090511,"topcoder
marketing
home
mobile
update
"
30088960,"sap
gbe
leak
repair
requirement
gather
review
script
test
case
"
30090513,"quartz
energy
mud
log
lic
file
generator
"
30090364,"hestia
control
center
backend
api
deployment
azure
app
service
"
30090401,"expand
table
layout
update
mobile
"
30090377,"topcoder
notification
service
skip
unnecessary
notification
"
30090281,"topcoder
project
service
fix
duplicate
email
invitation
"
30090213,"redwood
bluesource
summary
presentation
mock
api
"
